tndr_first_tender_fg,tndr_carrier_type_cd,award_target_share_percent,tndr_target_share_percent,distribution_channel_desc,shp_type_indicator_fg,transport_group_cd,award_carrier_cd,carrier_type_cd,carrier_type_desc,shipping_condition_cd,preceding_document_category_cd,transport_lane,source_zip_cd,destination_zip_cd,transport_region,temp_condition_cd,temp_channel_cd,fiscal_month_desc
Y,N,0,0,NULL,I,TC,UAFL,N,Non-Primary,41,V,V-00501879 To SP-JF,US-IL-60410,US-MN-55427,TEMP WEST,PF,R,Apr
N,N,0,0,NULL,I,NTC,UAFL,N,Non-Primary,43,V,V-00515056 To SP-HY,US-IA-51031,US-OH-45858,DRY NORTHEAST,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-RC To SP-KA,US-MI-49677,US-MI-49048,TEMP WEST,R,R,Apr
Y,P,100,100,Retail,O,TC,TJIS,P,Primary,40,C,SP-RJ To 0060024946,US-TN-37127,US-IL-60450,TEMP EAST,R,R,Apr
Y,P,100,100,Food Service,O,TC,QXWP,P,Primary,40,C,SP-X8 To 0048008178,US-MO-64836,US-TN-37771,TEMP WEST,F,F,Apr
Y,P,100,100,NULL,I,NTC,UAFL,P,Primary,41,V,V-00509105 To SP-MM,US-IL-60411,US-IL-60538,DRY MIDWEST,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,NTC,KMYV,P,Primary,40,V,SP-KC To SP-4S,US-MO-64120,US-KS-66021,DRY WEST,D,D,Apr
Y,P,100,100,Retail,O,NTC,UVJX,P,Primary,40,C,SP-P9 To 0060032363,US-PA-17078,US-VA-22942,DRY NORTHEAST,D,D,Apr
Y,P,50,50,Intercomp/Interplnt,O,NTC,EZXA,P,Primary,60,V,SP-BV To SP-DC,US-IL-61008,US-CA-92571,DRY MIDWEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-EH To SP-DC,MX-GT-36680,US-CA-92571,MEXICO,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,WREC,N,Non-Primary,40,V,SP-KC To SP-WL,US-MO-64120,US-IL-60481,DRY WEST,D,D,Apr
Y,N,0,0,NULL,I,NTC,ZPEC,N,Non-Primary,40,V,V-00509064 To SP-HN,US-IN-47905,US-MO-63401,DRY SOUTHEAST,D,D,Apr
Y,P,100,100,Retail,O,TC,KIPZ,P,Primary,40,C,SP-WN To 0016518100,CA-MB-R3T 1,CA-MB-R2X 2,CANADA,F,F,Apr
Y,P,100,100,Food Service,O,NTCB,GSQV,P,Primary,40,C,SP-VN To 0021429800,US-CA-90058,US-CA-90745,DRY WEST,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-RC To SP-A9,US-MI-49677,US-PA-18106,TEMP WEST,R,R,Apr
N,P,33,33,Intercomp/Interplnt,O,NTC,VQVH,P,Primary,40,I,SP-7003 To SP-WL,US-MI-49512,US-IL-60481,DRY NORTHEAST,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,NTC,LROI,P,Primary,60,I,SP-CA To SP-RO,US-IL-60446,US-TX-76262,DRY MIDWEST,D,D,Apr
Y,P,100,100,Food Service,O,NTC,URXX,P,Primary,40,C,SP-DC To 0021355400,US-CA-92571,US-OR-97070,DRY WEST,D,D,Apr
Y,P,100,100,Retail,O,NTC,FLSZ,P,Primary,40,C,SP-SG To 0060024273,US-GA-30025,US-LA-70455,DRY SOUTHEAST,D,D,Apr
Y,N,80,80,Intercomp/Interplnt,O,NTC,MMQA,N,Non-Primary,40,V,SP-B8 To SP-ET,US-MN-55418,CA-ON-L6Y 5,DRY MIDWEST,D,D,Apr
Y,P,40,40,Intercomp/Interplnt,O,NTC,YQCC,P,Primary,40,I,SP-B6 To SP-CR,US-MO-64804,US-IA-52404,DRY SOUTHEAST,D,D,Apr
Y,P,34,34,Retail,O,NTC,HJIK,P,Primary,40,C,SP-WL To 0060046748,US-IL-60481,US-WI-53066,DRY MIDWEST,D,D,Apr
Y,P,100,100,Retail,O,NTC,GMDR,P,Primary,40,C,SP-WL To 0060025836,US-IL-60481,US-AR-72143,DRY MIDWEST,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,NTC,URXX,P,Primary,40,V,SP-VN To SP-PZ,US-CA-90058,US-CA-94545,DRY WEST,D,D,Apr
Y,P,100,0,Retail,O,NTC,FLSZ,P,Primary,40,C,SP-SG To 0060019541,US-GA-30025,US-AL-36801,DRY SOUTHEAST,D,D,Apr
Y,P,60,60,Intercomp/Interplnt,O,NTC,FLSZ,P,Primary,40,V,SP-KC To SP-FE,US-MO-64120,US-IN-46809,DRY WEST,D,D,Apr
Y,P,54,54,Intercomp/Interplnt,O,NTC,BPNK,P,Primary,60,V,SP-J9 To SP-RO,US-MI-49512,US-TX-76262,DRY NORTHEAST,D,D,Apr
N,P,33,33,Retail,O,NTC,OPVP,P,Primary,40,C,SP-DC To 0048004325,US-CA-92571,US-UT-84307,DRY WEST,D,D,Apr
Y,P,100,100,Retail,O,TC,ODSX,P,Primary,41,C,SP-8R To 0060059932,CA-QC-J4B 1,CA-ON-L4X 2,CANADA,R,R,Apr
Y,N,0,0,Internal,O,NTC,QGHE,N,Non-Primary,43,I,SP-ET To 0014305300,CA-ON-L6Y 5,CA-QC-J7H 0,CANADA,D,D,Apr
Y,P,80,80,Intercomp/Interplnt,O,NTC,WTJW,P,Primary,40,V,SP-BU To SP-P8,US-NY-14203,US-PA-17078,DRY NORTHEAST,D,D,Apr
Y,P,100,100,Food Service,O,TC,TJIS,P,Primary,40,C,SP-X8 To 0060026854,US-MO-64836,US-FL-32063,TEMP WEST,F,F,Apr
N,P,16,16,Intercomp/Interplnt,O,TC,ZRUH,P,Primary,40,V,SP-K8 To SP-A9,US-TN-37127,US-PA-18106,TEMP EAST,R,R,Apr
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-RC To SP-A9,US-MI-49677,US-PA-18106,TEMP WEST,R,R,Apr
Y,P,100,100,Intercomp/Interplnt,O,NTC,URXX,P,Primary,40,V,SP-CA To SP-UQ,US-IL-60446,US-CA-95215,DRY MIDWEST,D,D,Apr
Y,P,75,75,Intercomp/Interplnt,O,NTC,WCLE,P,Primary,60,V,SP-BU To SP-MY,US-NY-14203,US-IL-60538,DRY NORTHEAST,D,D,Apr
Y,P,20,20,Intercomp/Interplnt,O,NTC,FLSZ,P,Primary,40,V,SP-BU To SP-FE,US-NY-14203,US-IN-46809,DRY NORTHEAST,D,D,Apr
N,P,24,24,Intercomp/Interplnt,O,NTC,UQIN,P,Primary,60,V,SP-BU To SP-7192,US-NY-14203,US-IL-61008,DRY NORTHEAST,D,D,Apr
N,P,33,33,Retail,O,NTC,OPVP,P,Primary,40,C,SP-DC To 0048004325,US-CA-92571,US-UT-84307,DRY WEST,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,NTC,HEPF,P,Primary,40,V,SP-CA To SP-WL,US-IL-60446,US-IL-60481,DRY MIDWEST,D,D,Apr
N,B,0,0,Intercomp/Interplnt,O,NTC,BHHL,B,Broadcast,40,V,SP-J9 To SP-FE,US-MI-49512,US-IN-46809,DRY NORTHEAST,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,NTC,GMDR,P,Primary,40,V,SP-SW To SP-FE,US-NY-14043,US-IN-46809,DRY NORTHEAST,D,D,Apr
N,B,0,0,Food Service,O,TC,BHHL,B,Broadcast,40,C,SP-JL To 0060069872,US-MO-64804,US-NC-27302,TEMP WEST,F,F,Apr
N,P,33,33,Retail,O,NTC,OPVP,P,Primary,40,C,SP-DC To 0048004325,US-CA-92571,US-UT-84307,DRY WEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-YN To SP-WL,US-ND-58203,US-IL-60481,DRY WEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-YN To SP-UQ,US-ND-58203,US-CA-95215,DRY WEST,D,D,Apr
N,B,0,0,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-SG To SP-RO,US-GA-30025,US-TX-76262,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,NULL,I,NTC,DNNR,N,Non-Primary,40,V,V-00503814 To SP-BT,US-IL-60007,US-IL-60510,DRY MIDWEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,YFVO,N,Non-Primary,40,I,SP-B6 To SP-7000,US-MO-64804,US-MI-49512,DRY SOUTHEAST,D,D,Apr
N,N,0,0,Intercomp/Interplnt,O,NTC,ZPEC,N,Non-Primary,40,V,SP-F1 To SP-WL,US-NM-87107,US-IL-60481,DRY WEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,ZPEC,N,Non-Primary,40,V,SP-F1 To SP-RO,US-NM-87107,US-TX-76262,DRY WEST,D,D,Apr
Y,N,0,0,NULL,I,NTC,GMDR,N,Non-Primary,40,V,V-00193961 To SP-WS,US-CA-93212,US-OH-45692,DRY NORTHEAST,D,D,Apr
N,B,0,0,Intercomp/Interplnt,O,NTC,URXX,B,Broadcast,40,V,SP-CA To SP-LL,US-IL-60446,US-WI-53221,DRY MIDWEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,VXJD,N,Non-Primary,40,V,SP-AL To SP-DC,US-NM-87113,US-CA-92571,DRY WEST,D,D,Apr
Y,N,0,0,Retail,O,NTC,NEPH,N,Non-Primary,40,C,SP-FE To 0060009930,US-IN-46809,US-VA-24477,DRY NORTHEAST,D,D,Apr
Y,N,0,0,Food Service,O,NTC,NUXY,N,Non-Primary,40,C,SP-S3 To 0024962900,US-NY-14218,US-VA-23435,DRY NORTHEAST,D,D,Apr
Y,N,0,0,Food Service,O,NTC,NUXY,N,Non-Primary,40,C,SP-LL To 0060020894,US-WI-53221,US-NY-11234,DRY MIDWEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,V,SP-H7 To SP-UQ,US-MO-63401,US-CA-95215,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,V,SP-LL To SP-MJ,US-WI-53221,US-MO-64120,DRY MIDWEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-J9 To SP-AB,US-MI-49512,US-GA-30102,DRY NORTHEAST,D,D,Apr
Y,P,100,100,NULL,I,NTC,HJIK,P,Primary,40,V,V-00509066 To SP-7070,US-IL-62526,US-MO-63401,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,Retail,O,NTC,FWUK,N,Non-Primary,40,C,SP-FE To 0010040400,US-IN-46809,US-PA-15205,DRY NORTHEAST,D,D,Apr
Y,N,0,0,Retail,O,NTC,NUXY,N,Non-Primary,40,C,SP-SG To 0060010260,US-GA-30025,US-AL-35023,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,NULL,I,NTC,YFVO,N,Non-Primary,40,V,V-00515195 To SP-AL,US-PA-18020,US-NM-87113,DRY WEST,D,D,Apr
Y,N,0,0,Food Service,O,NTC,AENM,N,Non-Primary,40,C,SP-FE To 0020004400,US-IN-46809,US-IL-60016,DRY NORTHEAST,D,D,Apr
Y,N,0,0,Retail,O,NTC,RLOS,N,Non-Primary,40,C,SP-UQ To 0012666800,US-CA-95215,US-CA-94928,DRY WEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,YFVO,N,Non-Primary,40,I,SP-MM To SP-CR,US-IL-60538,US-IA-52404,DRY MIDWEST,D,D,Apr
N,B,0,100,Intercomp/Interplnt,O,NTC,ZPEC,B,Broadcast,40,I,SP-39 To SP-JF,US-MO-63401,US-MN-55427,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,FLSZ,N,Non-Primary,40,V,SP-XQ To SP-WL,US-NE-68524,US-IL-60481,DRY WEST,D,D,Apr
N,B,0,0,Retail,O,NTC,BHHL,B,Broadcast,40,C,SP-SG To 0015061000,US-GA-30025,US-AL-36207,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,Internal,O,NTC,LPUO,N,Non-Primary,43,I,SP-MJ To 0060033397,US-MO-64120,US-TX-86665,DRY WEST,D,D,Apr
Y,N,0,0,Food Service,O,NTC,BHHL,N,Non-Primary,40,C,SP-AV To 0060058461,US-IA-50047,US-OH-43137,DRY MIDWEST,D,D,Apr
Y,N,0,0,NULL,I,NTC,ZPEC,N,Non-Primary,40,V,V-00509055 To SP-CW,US-LA-70508,US-GA-30014,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,Retail,O,NTC,NUXY,N,Non-Primary,40,C,SP-WW To 0060045801,US-IA-52404,US-PA-17406,DRY MIDWEST,D,D,Apr
Y,N,0,0,Retail,O,NTC,NUXY,N,Non-Primary,40,C,SP-WL To 0012683900,US-IL-60481,US-IL-62864,DRY MIDWEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,FLSZ,N,Non-Primary,40,V,SP-CE To SP-7202,US-GA-30014,US-MN-55418,DRY SOUTHEAST,D,D,Apr
N,B,0,100,Retail,O,NTC,JMAI,B,Broadcast,40,C,SP-ET To 0016538000,CA-ON-L6Y 5,CA-ON-L6T 5,CANADA,D,D,Apr
N,B,0,0,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-B8 To SP-SG,US-MN-55418,US-GA-30025,DRY MIDWEST,D,D,Apr
N,B,0,0,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-CE To SP-7202,US-GA-30014,US-MN-55418,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-FE To SP-MJ,US-IN-46809,US-MO-64120,DRY NORTHEAST,D,D,Apr
Y,N,0,0,Retail,O,NTC,NUXY,N,Non-Primary,40,C,SP-H7 To 0060014885,US-MO-63401,US-AZ-85326,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,Retail,O,NTC,URXX,N,Non-Primary,40,C,SP-DC To 0060033168,US-CA-92571,US-AZ-85193,DRY WEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,YFVO,N,Non-Primary,40,I,SP-B6 To SP-RW,US-MO-64804,US-MN-55044,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,NULL,I,TC,UAFL,N,Non-Primary,41,V,V-00501454 To SP-YS,US-CA-93203,US-UT-84104,TEMP WEST,R,R,Apr
N,B,0,0,Food Service,O,TC,BHHL,B,Broadcast,40,C,SP-DH To 0060071563,US-CA-90746,US-WA-98032,TEMP WEST,R,R,Apr
N,B,0,100,Food Service,O,NTC,BHHL,B,Broadcast,40,C,SP-FE To 0019882500,US-IN-46809,US-MI-48111,DRY NORTHEAST,D,D,Apr
N,N,0,0,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-BU To SP-FE,US-NY-14203,US-IN-46809,DRY NORTHEAST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,ZPEC,N,Non-Primary,40,V,SP-F1 To SP-P9,US-NM-87107,US-PA-17078,DRY WEST,D,D,Apr
N,B,0,100,Intercomp/Interplnt,O,NTC,LROI,B,Broadcast,60,V,SP-7014 To SP-P9,US-MN-55021,US-PA-17078,DRY MIDWEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,LROI,N,Non-Primary,60,V,SP-WW To SP-SW,US-IA-52404,US-NY-14043,DRY MIDWEST,D,D,Apr
Y,N,0,0,NULL,I,NTC,GMDR,N,Non-Primary,40,V,V-00511117 To SP-EH,US-MO-64804,MX-GT-36680,MEXICO,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-J9 To SP-S3,US-MI-49512,US-NY-14218,DRY NORTHEAST,D,D,Apr
Y,N,0,0,NULL,I,TC,UAFL,N,Non-Primary,41,V,V-00509880 To SP-RC,US-NJ-07936,US-MI-49677,TEMP WEST,R,R,Apr
Y,N,0,0,NULL,I,NTC,BHHL,N,Non-Primary,40,V,V-00510975 To SP-HN,US-MI-49048,US-MO-63401,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,V,SP-AV To SP-S3,US-IA-50047,US-NY-14218,DRY MIDWEST,D,D,Apr
N,B,0,0,Intercomp/Interplnt,O,NTC,FLSZ,B,Broadcast,40,I,SP-B8 To SP-39,US-MN-55418,US-MO-63401,DRY MIDWEST,D,D,Apr
Y,N,0,0,NULL,I,NTC,BHHL,N,Non-Primary,40,V,V-00508924 To SP-KF,US-OK-74437,US-CA-93245,DRY WEST,D,D,Apr
Y,N,0,0,NULL,I,NTC,FWUK,N,Non-Primary,40,V,V-00508924 To SP-KF,US-OK-74437,US-CA-93245,DRY WEST,D,D,Apr
