tndr_first_tender_fg,tndr_carrier_type_cd,award_target_share_percent,tndr_target_share_percent,distribution_channel_desc,shp_type_indicator_fg,transport_group_cd,award_carrier_cd,carrier_type_cd,carrier_type_desc,shipping_condition_cd,preceding_document_category_cd,transport_lane,source_zip_cd,destination_zip_cd,transport_region,temp_condition_cd,temp_channel_cd,fiscal_month_desc
N,B,0,0,Retail,O,NTC,BHHL,B,Broadcast,40,C,SP-SG To 0015061000,US-GA-30025,US-AL-36207,DRY SOUTHEAST,D,D,Apr
N,B,0,100,NULL,I,NTC,BHHL,B,Broadcast,40,V,V-00510975 To SP-PV,US-MI-49048,US-IL-60134,DRY MIDWEST,D,D,Apr
N,B,0,0,NULL,I,NTC,BUXU,B,Broadcast,40,V,V-00503266 To SP-JF,US-WI-53014,US-MN-55427,DRY MIDWEST,D,D,Apr
Y,N,0,0,NULL,I,NTC,MMQA,N,Non-Primary,40,V,V-00515191 To SP-TQ,US-NY-14606,CA-ON-M1L 3,CANADA,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,NTC,FCFB,P,Primary,40,V,SP-BF To SP-S3,US-NY-14203,US-NY-14218,DRY NORTHEAST,D,D,Apr
Y,N,0,0,NULL,I,NTC,BHHL,N,Non-Primary,40,V,V-00515056 To SP-MS,US-IA-51031,US-TN-37127,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,Retail,O,TC,TJIS,N,Non-Primary,40,C,0010846400 To SP-M8,US-VA-24605,US-GA-30253,TEMP EAST,F,F,Apr
N,B,0,100,Intercomp/Interplnt,O,NTC,BHHL,B,Broadcast,40,V,SP-VD To SP-WL,US-IL-60490,US-IL-60481,DRY MIDWEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,ZPEC,N,Non-Primary,40,V,SP-F1 To SP-SG,US-NM-87107,US-GA-30025,DRY WEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-KC To SP-WL,US-MO-64120,US-IL-60481,DRY WEST,D,D,Apr
Y,N,0,0,Food Service,O,NTC,FIKA,N,Non-Primary,40,C,SP-PZ To 0060047991,US-CA-94545,US-CA-94066,DRY WEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,V,SP-AV To SP-MJ,US-IA-50047,US-MO-64120,DRY MIDWEST,D,D,Apr
N,B,0,0,Intercomp/Interplnt,O,TC,BHHL,B,Broadcast,40,V,SP-QP To SP-M8,US-NY-14001,US-GA-30253,TEMP EAST,FH,F,Apr
Y,N,0,0,NULL,I,NTC,YFVO,N,Non-Primary,40,V,V-00510715 To SP-BT,US-IN-46219,US-IL-60510,DRY MIDWEST,D,D,Apr
N,B,0,0,Intercomp/Interplnt,O,NTC,PTVF,B,Broadcast,40,V,SP-AV To SP-CA,US-IA-50047,US-IL-60446,DRY MIDWEST,D,D,Apr
Y,N,0,0,Food Service,O,NTC,NUXY,N,Non-Primary,40,C,SP-Y4 To 0048002448,US-OH-44830,US-PA-15205,DRY NORTHEAST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-7004 To SP-WL,US-MI-49505,US-IL-60481,DRY NORTHEAST,D,D,Apr
N,B,0,0,Intercomp/Interplnt,O,NTC,BUXU,B,Broadcast,40,V,SP-WW To SP-RO,US-IA-52404,US-TX-76262,DRY MIDWEST,D,D,Apr
Y,N,0,0,Food Service,O,NTC,BHHL,N,Non-Primary,40,C,SP-AB To 0020042400,US-GA-30102,US-FL-33404,DRY SOUTHEAST,D,D,Apr
N,B,0,0,Food Service,O,TC,BHHL,B,Broadcast,40,C,SP-X8 To 0048000839,US-MO-64836,US-IL-62450,TEMP WEST,F,F,Apr
Y,N,0,0,Retail,O,NTC,AENM,N,Non-Primary,40,C,SP-FE To 0009182000,US-IN-46809,US-IN-46219,DRY NORTHEAST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,FWUK,N,Non-Primary,40,V,SP-F1 To SP-GB,US-NM-87107,US-IL-61401,DRY WEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CW To SP-V4,US-GA-30014,US-TX-76010,DRY SOUTHEAST,D,D,Apr
N,B,0,0,NULL,I,NTC,BHHL,B,Broadcast,40,V,V-00509777 To SP-7022,US-KY-41048,US-TN-37127,DRY SOUTHEAST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,NUXY,N,Non-Primary,40,V,SP-7014 To SP-SG,US-MN-55021,US-GA-30025,DRY MIDWEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,FWUK,N,Non-Primary,40,V,SP-BU To SP-WL,US-NY-14203,US-IL-60481,DRY NORTHEAST,D,D,Apr
Y,N,0,0,Internal,O,NTC,HJIK,N,Non-Primary,40,I,SP-GB To 0018096000,US-IL-61401,US-IA-52802,DRY MIDWEST,D,D,Apr
Y,N,0,0,Food Service,O,NTC,NUXY,N,Non-Primary,40,C,SP-FE To 0020893100,US-IN-46809,US-MN-56304,DRY NORTHEAST,D,D,Apr
Y,N,0,0,Food Service,O,NTC,NUXY,N,Non-Primary,40,C,SP-FE To 0060052487,US-IN-46809,US-MN-55055,DRY NORTHEAST,D,D,Apr
N,N,0,0,Retail,O,NTC,NUXY,N,Non-Primary,40,C,SP-SG To 0060036327,US-GA-30025,US-AL-36010,DRY SOUTHEAST,D,D,May
Y,N,0,0,Intercomp/Interplnt,O,NTC,ZPEC,N,Non-Primary,40,V,SP-F1 To SP-P8,US-NM-87107,US-PA-17078,DRY WEST,D,D,May
Y,N,0,0,Intercomp/Interplnt,O,NTC,LROI,N,Non-Primary,60,V,SP-FE To SP-UQ,US-IN-46809,US-CA-95215,DRY NORTHEAST,D,D,May
Y,N,0,0,NULL,I,NTC,BHHL,N,Non-Primary,40,V,V-00503256 To SP-7092,US-CA-95811,US-CO-80027,TEMP WEST,PH,R,May
Y,N,0,0,Intercomp/Interplnt,O,NTC,URXX,N,Non-Primary,40,V,SP-CI To SP-7202,US-OH-45241,US-MN-55418,DRY NORTHEAST,D,D,May
Y,P,100,100,Retail,O,TC,CHRE,P,Primary,41,C,SP-LR To 0060028003,CA-ON-L5N 3,CA-QC-J4B 7,CANADA,R,R,May
Y,N,0,0,NULL,I,NTC,FWUK,N,Non-Primary,40,V,V-00509194 To SP-KC,US-SD-57301,US-MO-64120,DRY WEST,D,D,May
Y,P,0,100,Intercomp/Interplnt,O,NTC,FCFB,P,Primary,40,V,SP-BU To SP-S3,US-NY-14203,US-NY-14218,DRY NORTHEAST,D,D,May
Y,P,50,50,Retail,O,NTC,SGZW,P,Primary,40,C,SP-FE To 0060031963,US-IN-46809,US-FL-32220,DRY NORTHEAST,D,D,May
N,B,0,25,Retail,O,NTC,YFVO,B,Broadcast,40,C,SP-DC To 0048001461,US-CA-92571,US-AZ-85043,DRY WEST,D,D,May
N,B,0,0,Food Service,O,NTC,LRQU,B,Broadcast,40,C,SP-S3 To 0060050969,US-NY-14218,US-GA-30024,DRY NORTHEAST,D,D,May
N,B,0,0,Retail,O,NTC,FLSZ,B,Broadcast,40,C,SP-WW To 0014076100,US-IA-52404,US-IN-46140,DRY MIDWEST,D,D,May
N,B,0,0,Intercomp/Interplnt,O,NTC,BHHL,B,Broadcast,40,V,SP-WW To SP-MY,US-IA-52404,US-IL-60538,DRY MIDWEST,D,D,May
Y,N,0,0,Food Service,O,NTC,FWUK,N,Non-Primary,40,C,SP-GF To 0060061466,US-MT-59401,US-TX-75235,DRY WEST,D,D,May
Y,P,50,50,Retail,O,NTC,NBNP,P,Primary,40,C,SP-FE To 0060034956,US-IN-46809,US-TN-37311,DRY NORTHEAST,D,D,May
Y,P,100,100,Retail,O,TC,XKNP,P,Primary,41,C,SP-8R To 0014640100,CA-QC-J4B 1,CA-AB-T2C 3,CANADA,R,R,May
Y,P,100,100,Intercomp/Interplnt,O,NTC,LROI,P,Primary,60,V,SP-7252 To SP-RO,US-IL-60085,US-TX-76262,DRY MIDWEST,D,D,May
Y,N,100,100,Intercomp/Interplnt,O,TC,GXAJ,N,Non-Primary,41,I,SP-GE To SP-XQ,US-IL-60134,US-NE-68524,TEMP WEST,R,R,May
Y,P,100,100,Food Service,O,NTC,NBNP,P,Primary,40,C,SP-GF To 0060041297,US-MT-59401,US-ID-83854,DRY WEST,D,D,May
Y,P,63,63,NULL,I,NTC,SSAL,P,Primary,40,V,V-00509192 To SP-CE,US-AR-72904,US-GA-30014,DRY SOUTHEAST,D,D,May
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-K8 To SP-KA,US-TN-37127,US-MI-49048,TEMP EAST,R,R,May
Y,P,51,51,Intercomp/Interplnt,O,NTC,GMDR,P,Primary,40,V,SP-FH To SP-DC,US-OR-97838,US-CA-92571,DRY WEST,D,D,May
Y,P,0,0,Internal,O,NTC,LPUO,P,Primary,42,I,SP-GB To 0014296300,US-IL-61401,US-MO-63045,DRY MIDWEST,D,D,May
Y,P,20,20,Intercomp/Interplnt,O,NTC,EZXA,P,Primary,60,V,SP-H7 To SP-P9,US-MO-63401,US-PA-17078,DRY SOUTHEAST,D,D,Jun
Y,N,100,100,Intercomp/Interplnt,O,NTC,YXXG,N,Non-Primary,60,V,SP-H7 To SP-UQ,US-MO-63401,US-CA-95215,DRY SOUTHEAST,D,D,Jun
Y,P,100,100,Intercomp/Interplnt,O,NTC,HJIK,P,Primary,40,V,SP-MG To SP-GB,US-WI-53221,US-IL-61401,DRY MIDWEST,D,D,Jun
Y,P,25,25,Intercomp/Interplnt,O,TC,QXWP,P,Primary,40,V,SP-CF To SP-WS,US-IL-61006,US-OH-45692,TEMP WEST,PH,R,Jun
Y,N,100,100,Retail,O,NTC,CHRE,N,Non-Primary,41,C,SP-ET To 0060045229,CA-ON-L6Y 5,CA-QC-G1C 7,CANADA,D,D,Jun
Y,P,100,0,Retail,O,TC,VOMK,P,Primary,40,C,SP-8R To 0060050134,CA-QC-J4B 1,CA-AB-T4A 0,CANADA,R,R,Jun
Y,P,100,100,Intercomp/Interplnt,O,NTC,NEPH,P,Primary,40,V,SP-LK To SP-FE,US-PA-18045,US-IN-46809,DRY NORTHEAST,D,D,Jun
N,P,25,25,Intercomp/Interplnt,O,NTC,HPWY,P,Primary,40,V,SP-7014 To SP-WL,US-MN-55021,US-IL-60481,DRY MIDWEST,D,D,Jun
Y,P,100,100,Food Service,O,TC,RTQT,P,Primary,41,C,SP-K8 To 0020044000,US-TN-37127,US-FL-33487,TEMP EAST,R,R,Jun
N,P,75,75,Intercomp/Interplnt,O,NTC,GMDR,P,Primary,40,I,SP-RB To SP-WL,US-MI-49512,US-IL-60481,DRY NORTHEAST,D,D,Jun
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-RC To SP-A9,US-MI-49677,US-PA-18106,TEMP WEST,R,R,Jun
Y,P,100,100,Food Service,O,NTC,NEPH,P,Primary,40,C,SP-FE To 0060066245,US-IN-46809,US-OH-43554,DRY NORTHEAST,D,D,Jun
Y,P,90,90,Intercomp/Interplnt,O,NTC,GMDR,P,Primary,40,V,SP-BT To SP-RB,US-IL-60510,US-MI-49512,DRY MIDWEST,D,D,Jun
Y,P,100,100,Food Service,O,NTC,UAFL,P,Primary,41,C,SP-FE To 0060058401,US-IN-46809,US-IA-51012,DRY NORTHEAST,D,D,Jun
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-RC To SP-KA,US-MI-49677,US-MI-49048,TEMP WEST,R,R,Jun
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-JL To SP-DH,US-MO-64804,US-CA-90746,TEMP WEST,R,R,Jun
Y,P,65,65,Intercomp/Interplnt,O,NTC,EZXA,P,Primary,60,I,SP-BV To SP-RO,US-IL-61008,US-TX-76262,DRY MIDWEST,D,D,Jun
Y,P,100,100,NULL,I,NTC,TJIS,P,Primary,40,V,V-00509777 To SP-MS,US-KY-41048,US-TN-37127,DRY SOUTHEAST,D,D,Jun
Y,P,100,100,Intercomp/Interplnt,O,TC,HJIK,P,Primary,40,V,SP-HN To SP-7252,US-MO-63401,US-IL-60085,TEMP WEST,PH,R,Jun
Y,P,100,100,Intercomp/Interplnt,O,NTC,LROI,P,Primary,60,V,SP-LK To SP-SG,US-PA-18045,US-GA-30025,DRY NORTHEAST,D,D,Jun
Y,P,100,100,NULL,I,NTC,UAFL,P,Primary,41,V,V-00502563 To SP-HN,US-CA-95380,US-MO-63401,DRY SOUTHEAST,D,D,Jun
Y,P,60,60,Intercomp/Interplnt,O,NTC,HJIK,P,Primary,40,V,SP-CA To SP-MG,US-IL-60446,US-WI-53221,DRY MIDWEST,D,D,Jun
N,P,60,60,Intercomp/Interplnt,O,NTC,LROI,P,Primary,60,V,SP-H7 To SP-P8,US-MO-63401,US-PA-17078,DRY SOUTHEAST,D,D,Jun
Y,P,100,100,Food Service,O,TC,TJIS,P,Primary,40,C,SP-RJ To 0060028149,US-TN-37127,US-OH-43160,TEMP EAST,R,R,Jun
Y,N,35,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,V,SP-H7 To SP-4S,US-MO-63401,US-KS-66021,DRY SOUTHEAST,D,D,Jun
Y,P,100,100,Internal,O,NTC,UAFL,P,Primary,41,I,SP-SG To 0014294400,US-GA-30025,US-SC-29658,DRY SOUTHEAST,D,D,Jun
Y,P,100,100,Intercomp/Interplnt,O,NTC,BPNK,P,Primary,60,V,SP-BV To SP-SG,US-IL-61008,US-GA-30025,DRY MIDWEST,D,D,Jun
Y,P,100,100,Retail,O,NTC,BUXU,P,Primary,40,C,SP-DC To 0060071774,US-CA-92571,US-NV-89115,DRY WEST,D,D,Jun
Y,P,100,100,Retail,O,NTC,UVJX,P,Primary,40,C,SP-P9 To 0060043131,US-PA-17078,US-NY-13441,DRY NORTHEAST,D,D,Jun
N,P,34,34,Intercomp/Interplnt,O,NTC,LROI,P,Primary,60,V,SP-CE To SP-7202,US-GA-30014,US-MN-55418,DRY SOUTHEAST,D,D,Jun
Y,P,75,75,Retail,O,TC,OBEX,P,Primary,40,C,SP-K8 To 0013965900,US-TN-37127,US-TX-76504,TEMP EAST,R,R,Jun
Y,P,0,0,Intercomp/Interplnt,O,TC,NEPH,P,Primary,40,V,SP-WL To SP-FE,US-IL-60481,US-IN-46809,TEMP WEST,PH,R,Jun
Y,P,100,100,Retail,O,TC,KIPZ,P,Primary,40,C,SP-LR To 0060025781,CA-ON-L5N 3,CA-ON-N3E 1,CANADA,R,R,Jun
Y,P,31,31,Intercomp/Interplnt,O,NTC,NBNP,P,Primary,40,V,SP-AL To SP-SG,US-NM-87113,US-GA-30025,DRY WEST,D,D,Jun
Y,P,66,66,Intercomp/Interplnt,O,NTC,GMDR,P,Primary,40,V,SP-7014 To SP-GB,US-MN-55021,US-IL-61401,DRY MIDWEST,D,D,Jun
Y,P,100,100,Retail,O,TC,TJIS,P,Primary,40,C,SP-WS To 0060016931,US-OH-45692,US-OK-73075,TEMP EAST,F,F,Jun
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-K8 To SP-KA,US-TN-37127,US-MI-49048,TEMP EAST,R,R,Jun
N,P,15,15,Intercomp/Interplnt,O,NTC,LROI,P,Primary,60,I,SP-BV To SP-S3,US-IL-61008,US-NY-14218,DRY MIDWEST,D,D,Jun
Y,P,100,100,Retail,O,TC,ODSX,P,Primary,41,C,SP-8R To 0060068121,CA-QC-J4B 1,CA-ON-L3R 0,CANADA,R,R,Jun
Y,P,100,100,NULL,I,NTC,FLSZ,P,Primary,40,V,V-00513950 To SP-HY,US-AL-35470,US-OH-45858,DRY NORTHEAST,D,D,Jun
Y,P,49,49,Intercomp/Interplnt,O,NTC,NBNP,P,Primary,40,V,SP-AL To SP-RO,US-NM-87113,US-TX-76262,DRY WEST,D,D,Jun
Y,P,100,100,Retail,O,TC,ODSX,P,Primary,41,C,SP-8R To 0060060320,CA-QC-J4B 1,CA-ON-M5R 3,CANADA,R,R,Jun
Y,P,50,50,NULL,I,NTC,GMDR,P,Primary,40,V,V-00509429 To SP-H7,US-MI-49007,US-MO-63401,DRY SOUTHEAST,D,D,Jun
Y,P,100,100,NULL,I,NTC,UAFL,P,Primary,41,V,V-00510670 To SP-CF,US-IL-60188,US-IL-61006,DRY MIDWEST,D,D,Jun
Y,P,100,100,Food Service,O,TC,TJIS,P,Primary,40,C,SP-JL To 0060067229,US-MO-64804,US-MN-56001,TEMP WEST,F,F,Jun
Y,P,100,100,Intercomp/Interplnt,O,NTC,DNNR,P,Primary,40,V,SP-7252 To SP-WL,US-IL-60085,US-IL-60481,DRY MIDWEST,D,D,Jun
Y,P,85,85,Intercomp/Interplnt,O,NTC,HJIK,P,Primary,40,V,SP-PV To SP-GB,US-IL-60134,US-IL-61401,DRY MIDWEST,D,D,Jun
Y,P,35,35,Intercomp/Interplnt,O,NTC,HPWY,P,Primary,40,V,SP-WW To SP-WL,US-IA-52404,US-IL-60481,DRY MIDWEST,D,D,Jun
Y,P,0,0,Intercomp/Interplnt,O,TC,DNNR,P,Primary,40,V,SP-WL To SP-GB,US-IL-60481,US-IL-61401,TEMP WEST,PH,R,Jun
N,P,75,75,Intercomp/Interplnt,O,TC,TFTZ,P,Primary,60,V,SP-WL To SP-DC,US-IL-60481,US-CA-92571,TEMP WEST,PH,R,Jun
